0.2,2.7,0.9,1.4,Junior
2.8,6.5,3.2,3.3,Pleno
0.7,2.1,1.8,0.9,Junior
6.0,18.6,9.6,6.6,Senior
4.4,14.1,8.1,7.5,Senior
6.9,14.1,5.5,8.2,Senior
7.2,12.5,7.0,9.2,Senior
2.8,8.4,3.6,3.7,Pleno
0.8,3.5,1.7,1.6,Junior
0.9,0.5,0.4,1.8,Junior
2.1,7.1,3.5,3.4,Pleno
3.0,7.9,3.5,3.5,Pleno
3.0,8.1,3.2,3.5,Pleno
3.0,8.7,3.3,3.8,Pleno
0.7,2.1,1.9,1.4,Junior
5.2,14.4,9.6,7.7,Senior
2.4,7.2,3.4,3.3,Pleno
0.3,1.6,0.1,1.7,Junior
6.8,19.6,8.1,5.6,Senior
0.3,2.4,1.6,1.7,Junior
7.4,18.3,7.8,6.7,Senior
5.6,17.9,8.4,6.6,Senior
6.8,15.9,8.1,9.0,Senior
0.2,4.4,1.4,1.0,Junior
2.8,6.7,3.6,3.2,Pleno
9.7,14.0,9.0,8.8,Senior
7.6,16.1,7.0,5.6,Senior
5.9,13.7,9.7,6.3,Senior
2.5,7.1,3.6,3.4,Pleno
9.1,15.3,10.0,5.9,Senior
6.3,10.2,6.6,9.7,Senior
0.3,4.3,0.7,1.8,Junior
2.1,6.5,3.5,3.7,Pleno
4.3,19.3,8.6,6.5,Senior
4.4,10.9,5.7,9.8,Senior
0.3,4.5,1.5,1.7,Junior
0.8,4.0,0.5,1.6,Junior
0.9,0.2,0.2,1.1,Junior
2.3,6.4,3.7,3.9,Pleno
0.3,0.9,1.3,1.8,Junior
2.4,7.4,3.1,3.8,Pleno
0.5,0.4,0.5,1.7,Junior
2.6,7.7,3.9,3.8,Pleno
0.4,4.5,0.9,0.3,Junior
8.9,19.7,8.5,6.2,Senior
2.3,7.2,3.3,3.3,Pleno
0.7,2.2,0.8,1.2,Junior
0.8,4.2,0.4,1.3,Junior
3.0,7.3,3.6,3.8,Pleno
2.9,7.7,3.4,3.8,Pleno
9.2,18.5,7.3,8.1,Senior
2.2,7.3,3.3,3.6,Pleno
0.2,3.1,0.7,1.4,Junior
3.0,7.8,3.7,3.9,Pleno
0.9,1.8,0.9,1.1,Junior
0.1,4.0,0.4,1.0,Junior
0.3,3.9,1.3,0.2,Junior
0.3,0.1,1.4,1.3,Junior
0.3,2.4,1.2,0.5,Junior
8.1,14.5,9.2,6.2,Senior
2.3,8.2,4.0,3.7,Pleno
0.8,2.7,1.6,0.6,Junior
8.0,19.8,5.1,8.8,Senior
2.8,7.8,3.6,3.9,Pleno
0.4,1.7,0.7,1.2,Junior
2.8,6.6,3.1,3.9,Pleno
6.2,13.0,9.4,7.0,Senior
9.7,16.3,6.4,7.8,Senior
2.2,7.9,3.9,3.3,Pleno
7.2,13.4,8.4,5.2,Senior
0.8,0.5,0.9,1.9,Junior
0.3,0.4,1.2,0.8,Junior
9.7,15.2,8.6,5.6,Senior
2.6,7.7,3.8,3.4,Pleno
2.8,6.4,3.2,4.0,Pleno
0.3,0.4,1.5,1.8,Junior
9.4,17.2,7.6,5.5,Senior
0.5,2.8,1.4,1.0,Junior
5.1,10.3,5.5,7.1,Senior
5.0,14.4,8.6,6.0,Senior
2.6,6.9,3.3,4.0,Pleno
5.0,10.8,6.4,8.5,Senior
0.5,0.7,0.6,0.5,Junior
2.5,7.0,3.8,3.8,Pleno
6.8,15.2,5.2,5.4,Senior
2.2,6.8,3.4,3.1,Pleno
2.9,7.8,3.2,3.7,Pleno
9.0,16.0,8.1,9.7,Senior
2.7,8.2,3.2,3.2,Pleno
2.7,6.1,3.8,4.0,Pleno
2.2,7.6,3.4,3.9,Pleno
2.6,8.6,3.7,3.1,Pleno
2.5,9.0,3.3,3.5,Pleno
8.3,12.3,6.6,9.3,Senior
8.4,18.9,6.2,6.4,Senior
4.8,17.2,5.8,5.8,Senior
0.3,1.8,1.6,0.5,Junior
0.7,4.8,1.3,1.7,Junior
0.2,2.6,0.5,1.4,Junior
5.9,14.1,9.8,5.8,Senior
2.5,8.9,4.0,4.0,Pleno
0.6,1.3,0.6,1.6,Junior
